customer_id,first_name,last_name,email,registration_date,city,state,country
1,Thomas,Stevenson,thomas.stevenson1825@example.com,2025-05-25,Naperville,IL,USA
2,Benjamin,Hartman,benjamin.hartman410@example.com,2025-09-01,Philadelphia,PA,USA
3,Larry,Holmes,larry.holmes4507@example.com,2023-12-29,Las Vegas,NV,USA
4,Jeanette,Weber,jeanette.weber4013@example.com,2025-04-11,Raleigh,NC,USA
5,Christopher,Hess,christopher.hess3658@example.com,2025-01-30,Phoenix,AZ,USA
6,Cassandra,Carter,cassandra.carter2287@example.com,2025-05-10,Phoenix,AZ,USA
7,Lisa,Bennett,lisa.bennett1680@example.com,2025-07-08,Houston,TX,USA
8,Diana,Roberts,diana.roberts8936@example.com,2025-07-30,Memphis,TN,USA
9,Jillian,Jackson,jillian.jackson1425@example.com,2022-10-09,Raleigh,NC,USA
10,Katrina,Abbott,katrina.abbott9675@example.com,2025-05-31,Colorado Springs,CO,USA
11,Julie,Jordan,julie.jordan6913@example.com,2023-02-22,Bentonville,AR,USA
12,Heather,Duffy,heather.duffy521@example.com,2023-08-30,Pittsburgh,PA,USA
13,Richard,Buchanan,richard.buchanan489@example.com,2025-07-02,Birmingham,AL,USA
14,Trevor,Porter,trevor.porter1536@example.com,2025-06-15,San Diego,CA,USA
15,Ashley,Holt,ashley.holt3583@example.com,2023-08-17,Los Angeles,CA,USA
16,Bonnie,Young,bonnie.young3812@example.com,2024-05-18,Los Angeles,CA,USA
17,Shaun,Schwartz,shaun.schwartz8280@example.com,2023-12-15,Sacramento,CA,USA
18,Laura,Baird,laura.baird9864@example.com,2025-01-20,Jacksonville,FL,USA
19,Alyssa,Hinton,alyssa.hinton435@example.com,2024-04-01,Miami,FL,USA
20,Jason,Meyer,jason.meyer9196@example.com,2024-12-26,Sacramento,CA,USA
21,John,Whitaker,john.whitaker3258@example.com,2023-09-28,Raleigh,NC,USA
22,Barbara,Rodriguez,barbara.rodriguez8929@example.com,2025-04-18,Phoenix,AZ,USA
23,Jeremy,Smith,jeremy.smith6874@example.com,2024-03-18,Sacramento,CA,USA
